event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
67ca4c48-ec9b-4c45-9485-ae00f0ffa467,redis-py,1784865776541640433,1784865776544011044,1784865776544023243,1784865776544030303,2.370611,0.00706
a736895f-1c77-494e-8f8e-502d082d0ca0,redis-py,1784865778541720437,1784865778543763521,1784865778543823413,1784865778543868532,2.043084,0.045119
38175d9c-de79-4c30-bc4c-b0d7f7fe5980,redis-py,1784865778541720437,1784865778544130532,1784865778544149470,1784865778544157002,2.410095,0.007532
74620976-1608-4f8c-a5de-b1e3dd833aef,redis-py,1784865778541720437,1784865778544206287,1784865778544216373,1784865778544222071,2.48585,0.005698
66be2bd8-927e-4312-a10f-c69ce778c754,redis-py,1784865780541800440,1784865780543846823,1784865780543912404,1784865780543960957,2.046383,0.048553
6b911dbc-6b25-422a-b5d3-7dd506d777c1,redis-py,1784865780541800440,1784865780544233944,1784865780544246172,1784865780544254536,2.433504,0.008364
d4d24445-4bb1-4715-80a1-3c1353151ad2,redis-py,1784865800542600472,1784865800562644429,1784865800562701467,1784865800562742750,20.043957,0.041283
2900d6b5-9ef2-4be9-8129-124eb12ff304,redis-py,1784865801542640473,1784865801543663063,1784865801543718587,1784865801543756545,1.02259,0.037958
597b2297-7c29-49fa-916d-9e9f63b33be6,redis-py,1784865801542640473,1784865801543976811,1784865801543990462,1784865801543999145,1.336338,0.008683
ea1bffd4-e71c-4f22-8834-874fab8dfc4f,redis-py,1784865802542680475,1784865802543719249,1784865802543767864,1784865802543805662,1.038774,0.037798
