t_wall,rho,loadavg
1784958318.169044,0.79699,6.32
1784958318.6698153,0.79551,6.32
1784958319.1705828,0.805,6.32
1784958319.6712437,0.81047,6.32
1784958320.1732523,0.79551,6.32
1784958320.6740253,0.7975,6.32
1784958321.174799,0.8005,6.32
1784958321.6752179,0.81,6.32
1784958322.175964,0.8,6.46
1784958322.6792803,0.79404,6.46
1784958323.180096,0.8,6.46
1784958323.6812496,0.80846,6.46
1784958324.182026,0.7975,6.46
1784958324.6831572,0.81047,6.46
1784958325.1862512,0.801,6.46
1784958325.6870244,0.79551,6.46
1784958326.1878035,0.8025,6.46
1784958326.6882536,0.80798,6.46
1784958327.189077,0.7995,6.26
1784958327.6898472,0.79302,6.26
1784958328.1902795,0.8,6.26
1784958328.6911008,0.798,6.26
1784958329.193265,0.80446,6.26
1784958329.6940362,0.80451,6.26
1784958330.194931,0.79551,6.26
1784958330.6957588,0.81704,6.26
1784958331.1965566,0.79551,6.26
1784958331.6974185,0.8025,6.26
1784958332.1982212,0.798,6.24
1784958332.7002723,0.80348,6.24
1784958333.2010996,0.8025,6.24
1784958333.701969,0.805,6.24
1784958334.203278,0.80299,6.24
1784958334.7040591,0.79551,6.24
1784958335.204856,0.80451,6.24
1784958335.7082705,0.80397,6.24
1784958336.209145,0.798,6.24
1784958336.7099755,0.81,6.24
1784958337.2126966,0.80198,6.3
1784958337.7133312,0.80299,6.3
1784958338.2141466,0.79699,6.3
1784958338.7162726,0.79901,6.3
1784958339.2170923,0.80702,6.3
1784958339.7178807,0.80549,6.3
1784958340.2186918,0.7995,6.3
1784958340.7212684,0.80494,6.3
1784958341.2220244,0.835,6.3
1784958341.722823,0.81704,6.3
1784958342.2233367,0.8525,6.92
1784958342.724144,0.80798,6.92
1784958343.2263272,0.80348,6.92
1784958343.7271423,0.795,6.92
1784958344.2278962,0.8005,6.92
1784958344.728278,0.81047,6.92
1784958345.2290826,0.795,6.92
1784958345.7302387,0.80549,6.92
1784958346.231262,0.805,6.92
1784958346.7342498,0.801,6.92
1784958347.235044,0.8,6.76
1784958347.7382336,0.80597,6.76
1784958348.2390902,0.8005,6.76
1784958348.7399235,0.80549,6.76
1784958349.2432802,0.79851,6.76
1784958349.7440941,0.8005,6.76
1784958350.244892,0.805,6.76
1784958350.7452552,0.8005,6.76
1784958351.2460747,0.8,6.76
1784958351.7469218,0.79551,6.76
1784958352.2482474,0.80549,6.7
1784958352.7490366,0.80451,6.7
1784958353.2498035,0.79353,6.7
1784958353.7502728,0.8025,6.7
1784958354.2512965,0.80348,6.7
1784958354.7521098,0.80299,6.7
1784958355.2533386,0.79551,6.7
1784958355.7542264,0.8125,6.7
1784958356.2550263,0.81,6.7
1784958356.7572765,0.80348,6.7
1784958357.258058,0.80702,6.64
1784958357.7589276,0.80299,6.64
1784958358.2612665,0.79901,6.64
1784958358.7620754,0.8075,6.64
1784958359.2628741,0.8,6.64
1784958359.7636771,0.7975,6.64
1784958360.2651572,0.80149,6.64
1784958360.7659452,0.80702,6.64
1784958361.2692695,0.79455,6.64
1784958361.7700908,0.8,6.64
1784958362.2708666,0.80451,6.59
1784958362.77167,0.79901,6.59
1784958363.274279,0.79851,6.59
1784958363.7750895,0.8075,6.59
1784958364.2758887,0.8005,6.59
1784958364.7762442,0.8,6.59
1784958365.2770326,0.8025,6.59
1784958365.7778397,0.795,6.59
1784958366.2783244,0.79901,6.59
